adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
405645000,405600000,400000000,Sariaya,Mun,32239,34652,26133,26913,27836,22540,15179,22356,18539,16734,18915,17560,17138,15626,13151,11332,11622,10493,8850,7657,8719,7695,4243,4696,6610,5086,4313,4470,2840,3134,1023,3049,2503,1605,2511,770,1579,545,539,1195,876,1073,807,696,393,771,513,722,624,210,417,332,580,287,448,300,212,134,172,134,123
405646000,405600000,400000000,Tagkawayan,Mun,11796,12704,9400,8992,8880,7224,4903,8229,6286,5808,7115,6206,4331,6186,4490,3207,3698,4407,3043,3344,3228,3550,1167,2330,1331,1401,2102,1649,1047,1731,455,1211,1965,615,1216,211,971,355,222,682,510,378,532,265,248,342,403,262,324,174,258,232,268,129,252,175,145,124,95,80,59
405648000,405600000,400000000,Tiaong,Mun,24151,26500,19461,20069,21314,16754,11363,16531,14118,13106,13259,12606,12311,10542,10494,8850,9162,7922,7079,6317,6072,5720,3566,3671,6600,4471,3368,3354,2718,2389,913,2131,1847,1356,1849,546,1488,519,501,841,726,711,617,571,310,613,415,352,540,243,253,290,425,255,334,222,178,128,111,92,98
405649000,405600000,400000000,Unisan,Mun,7192,7781,6049,5394,6117,4590,3312,4906,3772,3460,4924,3535,3278,3322,2693,2127,2435,2208,2024,1619,1712,1729,699,1122,875,761,1158,1004,579,820,406,638,585,407,594,119,287,256,242,226,186,153,246,120,82,148,133,84,215,62,61,66,142,63,80,45,60,55,42,28,23
205701000,205700000,200000000,Aglipay,Mun,6908,7308,6081,4333,6585,3983,6374,3794,3137,2393,4150,3059,1163,2657,2526,1305,2865,1161,2278,1784,807,1787,478,939,736,801,731,647,681,428,2076,189,498,350,302,180,384,325,146,596,310,155,269,129,155,174,181,121,166,113,139,322,210,106,108,95,128,82,48,40,36
205702000,205700000,200000000,Cabarroguis,Mun,8104,8402,7458,5486,7942,4918,7482,4392,5534,3229,4755,3300,1561,3090,3154,1877,3717,1563,3237,2651,888,2078,830,1215,1000,1153,1219,683,1315,576,2539,155,577,508,332,166,340,241,194,559,314,168,333,199,142,222,235,113,177,144,129,411,203,81,93,91,119,75,45,56,33
205703000,205700000,200000000,Diffun,Mun,11514,12396,10869,8092,11122,7453,11088,6454,6256,5250,6886,5079,2481,4345,5132,2802,5893,2651,4596,4169,1450,3500,1069,1911,1359,1701,1933,1257,1662,1127,4240,391,1040,864,568,229,644,582,319,949,586,279,639,343,281,272,421,220,293,166,242,585,337,176,233,211,215,120,80,80,52
205704000,205700000,200000000,Maddela,Mun,8500,8985,8372,6125,8386,5605,8380,5141,4317,4049,4881,3916,2191,3390,4158,2207,4905,2020,3235,2986,1085,2540,955,1567,1195,1357,1608,1045,1284,884,2821,331,753,685,442,204,491,290,237,838,510,250,456,231,207,319,356,149,203,197,191,505,376,136,156,156,188,84,76,59,63
205706000,205700000,200000000,Nagtipunan,Mun,4604,4420,3196,2471,3248,2490,3298,2005,1795,1596,2916,1292,809,1450,1619,736,1706,978,944,1652,562,1570,337,896,527,579,774,464,600,539,1203,116,585,370,374,138,382,295,168,627,408,219,235,219,216,239,306,81,188,168,207,324,233,142,134,154,177,101,72,57,42
205705000,205700000,200000000,Saguday,Mun,3801,4288,3758,2577,3825,2531,3899,2057,1759,1520,2009,1505,916,1299,1718,1017,1970,739,1631,1096,487,975,380,532,484,613,501,392,446,300,1334,102,292,224,133,61,168,316,78,253,184,99,137,98,82,90,109,62,85,42,73,98,101,41,48,41,62,27,24,18,14
