adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
600611000,600600000,600000000,Pandan,Mun,5320,5352,4095,218,33,3651,203,355,1552,4440,29,5509,147,720,3679,838,4345,9540,71,2467,2581,2176,24,2058,4506,122,3613,2784,4036,2536,1508,59,2279,3800,5012,119,3313
600612000,600600000,600000000,Patnongon,Mun,5166,5336,3768,210,57,2746,233,479,1576,4026,30,5348,85,755,2713,427,3328,7769,83,2870,2841,2332,23,2174,4477,98,3636,3816,3851,2694,1378,76,2084,2701,6068,1077,4747
600613000,600600000,600000000,San Jose,Mun,8283,9927,7843,495,45,6821,367,620,3012,7553,84,12034,206,1635,6151,913,7976,14399,145,3791,4688,2872,30,4329,10618,365,7091,7236,7529,6066,1781,283,3999,7363,11497,195,8790
600614000,600600000,600000000,San Remigio,Mun,4165,2268,3211,181,48,1203,156,549,870,3401,36,2870,79,641,1614,721,1964,4780,79,2947,3045,1871,27,1456,2863,124,3546,2488,2610,1401,1520,61,2234,1751,3526,77,3602
600615000,600600000,600000000,Sebaste,Mun,2143,2526,1253,115,24,2052,95,223,1190,1571,16,3111,60,655,2402,202,2721,4399,40,1058,1773,953,14,1252,1850,67,2009,1869,1303,1149,428,32,1426,1819,2751,44,1320
600616000,600600000,600000000,Sibalom,Mun,9838,10281,6728,356,76,6559,334,926,3026,7594,73,11355,235,1552,5731,655,8506,14701,167,4478,4466,3005,42,5024,9467,248,6401,6717,6759,8612,2240,157,4092,7149,11667,383,8541
600617000,600600000,600000000,Tibiao,Mun,3302,3398,1852,96,37,2218,169,328,1360,2161,21,3960,129,788,3191,295,3123,6189,75,1693,2751,1051,21,1812,2906,71,2343,2427,2126,1607,546,47,1157,2747,3359,180,2046
600607000,600600000,600000000,Tobias Fornier,Mun,5135,3780,4196,229,46,2355,152,553,2355,4675,24,4935,92,1057,2330,618,2994,7237,98,2885,2517,1623,34,2508,5236,189,4559,3113,3496,2099,1216,146,2270,2364,5264,133,4677
600618000,600600000,600000000,Valderrama,Mun,3645,1962,2622,115,42,1106,136,226,831,2552,30,2439,54,564,452,1173,1534,3517,45,2090,3359,1856,24,1509,2368,67,2607,1438,2503,701,1610,47,2263,1724,2651,57,2860
1408102000,1408100000,1400000000,Conner,Mun,2710,1180,1979,159,37,1098,162,320,425,1632,130,2874,85,557,2881,187,2986,4577,117,1044,2000,992,33,957,1446,83,2132,1485,1269,548,1278,43,1318,1572,3284,88,944
1408103000,1408100000,1400000000,Flora,Mun,2878,1470,1603,125,23,1026,84,183,368,1710,45,1651,49,389,2160,72,2808,3347,55,1040,971,591,27,731,1842,137,968,1177,1320,561,895,22,1638,1016,2509,47,1309
1408105000,1408100000,1400000000,Luna,Mun,3003,1741,1993,183,25,1634,111,241,774,1916,44,3578,55,457,2764,144,3572,4087,85,930,1595,901,38,1248,2537,78,1463,1840,1788,809,920,36,1957,2068,3391,83,1689
1408106000,1408100000,1400000000,Pudtol,Mun,2636,865,1210,121,24,985,93,201,372,1295,47,2095,62,370,1791,295,2237,2374,78,879,1502,691,40,731,1245,108,1159,1030,1017,425,950,41,1006,1435,1635,54,856
1408107000,1408100000,1400000000,Santa Marcela,Mun,2097,1229,1479,61,12,704,91,147,368,1500,13,2242,40,338,1304,55,2022,2761,46,514,959,694,22,548,1649,38,1063,833,1401,390,972,22,1608,821,2262,40,1090
307702000,307700000,300000000,Casiguran,Mun,4943,1874,1681,129,26,2216,60,119,599,1786,34,4562,47,440,2729,365,3401,3819,78,965,1913,845,8,1078,2271,2271,1105,1730,1665,1077,655,71,1704,2011,2545,90,1212
307703000,307700000,300000000,Dilasag,Mun,3339,1478,1399,93,12,1311,187,260,387,1726,19,2708,66,377,2243,318,2489,3179,118,1095,1988,731,15,834,2080,71,1407,1398,1447,605,879,42,1437,1125,1960,119,1066
