adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
806005000,806000000,800000000,City of Catbalogan,City,695,8993,10536,545,9539,2041,10033,1656,515,590,8359,6035,11488,535,4627,3819,7292,6411,10313,316,1808,5095,2814,7678,586,666,9245,12870,378,7428,3775,7037,5433
806006000,806000000,800000000,Daram,Mun,663,3904,4916,364,6006,938,4706,757,397,403,3766,3214,4461,392,1983,1408,4637,2491,6492,216,733,2458,1381,2895,515,374,3764,7513,209,3001,1566,4353,2094
806007000,806000000,800000000,Gandara,Mun,543,4003,4039,324,4809,563,4354,958,281,391,2751,2455,4663,206,1650,1257,3088,2522,5072,185,727,2341,1279,3020,369,284,3508,5212,170,3421,1496,4076,2041
806008000,806000000,800000000,Hinabangan,Mun,105,1248,1648,66,1300,546,1385,302,79,58,891,847,1618,50,549,410,1044,814,1545,34,203,937,343,1270,84,65,1270,1948,31,1157,671,1020,642
806009000,806000000,800000000,Jiabong,Mun,227,2085,2889,174,3264,596,3008,512,162,163,2172,1686,3333,158,1080,712,1772,1594,3715,97,463,1312,779,1683,245,172,2565,3468,90,1806,1182,2468,1399
806010000,806000000,800000000,Marabut,Mun,215,2146,2671,143,2457,911,2543,453,161,175,1716,1494,3124,176,1073,735,1607,1577,3237,102,336,1157,801,1656,187,144,2179,3412,85,1996,662,1997,1166
806012000,806000000,800000000,Motiong,Mun,203,1700,1757,141,2518,859,1640,327,122,139,1270,1179,1960,150,768,410,1065,748,2430,82,309,841,609,1133,213,112,1597,1959,88,1073,689,1658,980
806026000,806000000,800000000,Pagsanghan,Mun,93,1750,2010,63,1295,255,2207,202,87,99,926,1117,1979,55,632,436,1047,1403,2378,61,231,1397,368,1575,72,61,1554,2287,44,1833,399,1833,732
806022000,806000000,800000000,Paranas,Mun,397,4746,5664,267,4229,1025,3867,630,259,263,3000,2592,4799,199,1579,1154,2891,3213,4791,134,612,2106,1253,4101,288,259,4441,5120,146,3026,1215,3321,1853
806013000,806000000,800000000,Pinabacdao,Mun,84,916,1144,69,1135,685,1103,214,46,75,805,661,1400,48,501,393,832,717,1514,38,164,494,355,736,58,61,941,1648,34,888,402,759,538
806025000,806000000,800000000,San Jorge,Mun,147,1478,1844,86,1651,185,1547,256,70,92,1133,903,1674,63,615,500,1106,859,1879,27,204,1107,412,1476,85,76,1320,1973,47,1212,520,1513,659
806014000,806000000,800000000,San Jose De Buan,Mun,23,120,144,14,126,50,103,14,7,11,102,70,157,6,40,27,78,57,130,5,15,84,34,102,16,5,95,157,3,91,37,60,62
806015000,806000000,800000000,San Sebastian,Mun,80,841,975,79,1112,409,996,199,67,164,713,558,1193,53,426,344,638,621,1233,22,130,476,276,625,83,55,833,1510,36,620,290,863,457
806016000,806000000,800000000,Santa Margarita,Mun,303,2588,3303,197,3138,492,3283,598,189,235,2501,1495,3907,150,1393,983,2423,1935,3821,115,497,1902,1210,2365,206,202,2609,4256,112,2555,815,2581,1753
