adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level
102924000,102900000,100000000,Santa Cruz,Mun
102925000,102900000,100000000,Santa Lucia,Mun
102926000,102900000,100000000,Santa Maria,Mun
102927000,102900000,100000000,Santiago,Mun
102928000,102900000,100000000,Santo Domingo,Mun
102929000,102900000,100000000,Sigay,Mun
102930000,102900000,100000000,Sinait,Mun
102931000,102900000,100000000,Sugpon,Mun
102932000,102900000,100000000,Suyo,Mun
102933000,102900000,100000000,Tagudin,Mun
603001000,603000000,600000000,Ajuy,Mun
603002000,603000000,600000000,Alimodian,Mun
603003000,603000000,600000000,Anilao,Mun
603004000,603000000,600000000,Badiangan,Mun
603005000,603000000,600000000,Balasan,Mun
603006000,603000000,600000000,Banate,Mun
603007000,603000000,600000000,Barotac Nuevo,Mun
603008000,603000000,600000000,Barotac Viejo,Mun
603009000,603000000,600000000,Batad,Mun
603010000,603000000,600000000,Bingawan,Mun
603012000,603000000,600000000,Cabatuan,Mun
603013000,603000000,600000000,Calinog,Mun
